Step,n,total,frequency
0,0,2824,0
1,0,3067,0
2,0,2966,0
3,0,2841,0
4,0,2801,0
5,0,2414,0
6,0,2578,0
7,0,2460,0
8,0,2679,0
9,0,2467,0
10,0,2429,0
11,0,2493,0
12,0,2295,0
13,0,2366,0
14,0,2423,0
15,0,2412,0
16,0,2108,0
17,0,2670,0
18,0,2977,0
19,0,2680,0
20,0,2800,0
21,0,2772,0
22,0,2531,0
23,0,2472,0
24,0,3880,0
25,0,2839,0
26,0,3656,0
27,0,2547,0
28,0,2674,0
29,0,2434,0
30,0,2553,0
31,0,2730,0
32,0,2632,0
33,0,3124,0
34,0,2547,0
35,0,3248,0
36,0,2577,0
37,0,2398,0
38,0,3069,0
39,0,2401,0
40,0,2495,0
41,0,2610,0
42,0,2781,0
43,0,3177,0
44,0,2813,0
45,0,2316,0
46,0,2950,0
47,0,2817,0
48,0,2814,0
49,0,2851,0
50,0,2970,0
51,0,2570,0
52,0,2446,0
53,0,2214,0
54,0,3201,0
55,0,2642,0
56,0,3279,0
57,0,2519,0
58,0,2612,0
59,0,2702,0
60,0,2593,0
61,0,2515,0
62,0,2511,0
63,0,2452,0
64,0,2614,0
65,0,3442,0
66,0,2809,0
67,0,1696,0
68,0,2681,0
69,0,2572,0
70,0,2518,0
71,0,2648,0
72,0,2766,0
73,0,2457,0
74,0,2373,0
75,0,2350,0
76,0,2357,0
77,0,2963,0
78,0,2335,0
79,0,2411,0
80,0,2290,0
81,0,2125,0
82,0,2356,0
83,0,2574,0
84,0,2314,0
85,0,2535,0
86,0,2495,0
87,0,2600,0
88,0,2881,0
89,0,2245,0
90,0,2389,0
91,0,2576,0
92,0,2737,0
93,0,3165,0
94,0,2651,0
95,0,2671,0
96,0,3357,0
97,0,2664,0
98,0,2396,0
99,0,2034,0
100,0,2675,0
