Step,n,total,frequency
0,0,1428,0
1,0,1352,0
2,0,1351,0
3,0,1152,0
4,0,1227,0
5,0,1252,0
6,0,977,0
7,0,1015,0
8,0,1248,0
9,0,1209,0
10,0,1261,0
11,0,1253,0
12,0,1361,0
13,0,1243,0
14,0,1104,0
15,0,1386,0
16,0,1249,0
17,0,1280,0
18,0,1352,0
19,0,1296,0
20,0,1252,0
21,0,1201,0
22,0,1547,0
23,0,1447,0
24,0,1466,0
25,0,1507,0
26,0,1326,0
27,0,1394,0
28,0,1288,0
29,0,1916,0
30,0,1297,0
31,0,1347,0
32,0,1285,0
33,0,1476,0
34,0,1242,0
35,0,1194,0
36,0,1412,0
37,0,1284,0
38,0,1329,0
39,0,1300,0
40,0,1170,0
41,0,1236,0
42,0,1553,0
43,0,1199,0
44,0,1177,0
45,0,1553,0
46,0,1259,0
47,0,1273,0
48,0,1433,0
49,0,980,0
50,0,1307,0
51,0,1550,0
52,0,1276,0
53,0,1296,0
54,0,1274,0
55,0,1408,0
56,0,1386,0
57,0,1239,0
58,0,1644,0
59,0,1353,0
60,0,1294,0
61,0,1378,0
62,0,1348,0
63,0,1357,0
64,0,1254,0
65,0,1442,0
66,0,1027,0
67,0,1127,0
68,0,1337,0
69,0,1305,0
70,0,1214,0
71,0,1349,0
72,0,1416,0
73,0,1827,0
74,0,1255,0
75,0,1214,0
76,0,1390,0
77,0,1308,0
78,0,1201,0
79,0,1246,0
80,0,1297,0
81,0,1159,0
82,0,1224,0
83,0,1456,0
84,0,1271,0
85,0,1345,0
86,0,1325,0
87,0,1187,0
88,0,1402,0
89,0,1365,0
90,0,1364,0
91,0,1274,0
92,0,1393,0
93,0,1231,0
94,0,1361,0
95,0,1163,0
96,0,1496,0
97,0,1462,0
98,0,1524,0
99,0,1382,0
100,0,1394,0
