Step,n,total,frequency
0,0,1411,0
1,0,1418,0
2,0,1312,0
3,0,1242,0
4,0,1329,0
5,0,1318,0
6,0,1330,0
7,0,1274,0
8,0,1356,0
9,0,1260,0
10,0,1213,0
11,0,1279,0
12,0,1259,0
13,0,1266,0
14,0,1253,0
15,0,1218,0
16,0,1231,0
17,0,1248,0
18,0,1322,0
19,0,1352,0
20,0,1380,0
21,0,1347,0
22,0,1358,0
23,0,1342,0
24,0,1353,0
25,0,1339,0
26,0,1293,0
27,0,1327,0
28,0,1363,0
29,0,1321,0
30,0,1280,0
31,0,1310,0
32,0,1346,0
33,0,1296,0
34,0,1393,0
35,0,1338,0
36,0,1295,0
37,0,1353,0
38,0,1419,0
39,0,1333,0
40,0,1360,0
41,0,1366,0
42,0,1357,0
43,0,1355,0
44,0,1371,0
45,0,1379,0
46,0,1351,0
47,0,1379,0
48,0,1379,0
49,0,1405,0
50,0,1470,0
51,0,1428,0
52,0,1292,0
53,0,1350,0
54,0,1474,0
55,0,1433,0
56,0,1335,0
57,0,1352,0
58,0,1351,0
59,0,1310,0
60,0,1334,0
61,0,1336,0
62,0,1292,0
63,0,1311,0
64,0,1312,0
65,0,1315,0
66,0,1337,0
67,0,1354,0
68,0,1309,0
69,0,1314,0
70,0,1343,0
71,0,1308,0
72,0,1247,0
73,0,1275,0
74,0,1312,0
75,0,1330,0
76,0,1298,0
77,0,1438,0
78,0,1402,0
79,0,1444,0
80,0,1262,0
81,0,1314,0
82,0,1276,0
83,0,1332,0
84,0,1360,0
85,0,1386,0
86,0,1385,0
87,0,1345,0
88,0,1390,0
89,0,1314,0
90,0,1314,0
91,0,1321,0
92,0,1330,0
93,0,1319,0
94,0,1387,0
95,0,1313,0
96,0,1374,0
97,0,1406,0
98,0,1315,0
99,0,1380,0
100,0,1291,0
