Step,n,total,frequency
0,2,1419,0.0014094432699083862
1,3,1459,0.00205620287868403
2,3,1337,0.002243829468960359
3,1,1315,7.604562737642585e-4
4,5,1351,0.003700962250185048
5,1,1292,0.00077399380804953565
6,0,1281,0
7,0,1380,0
8,0,1341,0
9,0,1306,0
10,0,1354,0
11,0,1195,0
12,0,1230,0
13,0,1322,0
14,0,1211,0
15,0,1359,0
16,0,1233,0
17,0,1312,0
18,0,1338,0
19,0,1289,0
20,0,1295,0
21,0,1327,0
22,0,1357,0
23,5,1318,0.0037936267071320183
24,1,1333,7.501875468867217e-4
25,1,1382,7.23589001447178e-4
26,2,1331,0.0015026296018031556
27,5,1290,0.003875968992248062
28,1,1403,7.127583749109052e-4
29,2,1359,0.0014716703458425313
30,1,1338,7.473841554559044e-4
31,3,1301,0.0023059185242121443
32,1,1279,7.818608287724785e-4
33,2,1291,0.001549186676994578
34,7,1278,0.005477308294209703
35,0,1266,0
36,6,1280,0.0046875
37,2,1429,0.0013995801259622112
38,0,1311,0
39,4,1387,0.002883922134102379
40,5,1316,0.003799392097264438
41,4,1362,0.002936857562408223
42,2,1329,0.0015048908954100827
43,0,1303,0
44,0,1334,0
45,0,1372,0
46,1,1506,6.640106241699867e-4
47,6,1400,0.004285714285714286
48,8,1398,0.005722460658082976
49,3,1329,0.002257336343115124
50,2,1485,0.0013468013468013469
51,1,1416,7.062146892655367e-4
52,0,1478,0
53,0,1425,0
54,0,1392,0
55,0,1417,0
56,0,1473,0
57,0,1371,0
58,0,1355,0
59,0,1389,0
60,0,1419,0
61,0,1283,0
62,0,1309,0
63,0,1244,0
64,0,1326,0
65,0,1322,0
66,0,1329,0
67,0,1420,0
68,0,1271,0
69,0,1354,0
70,0,1403,0
71,0,1365,0
72,0,1326,0
73,0,1306,0
74,1,1349,7.412898443291327e-4
75,2,1227,0.0016299918500407497
76,1,1337,7.479431563201197e-4
77,5,1419,0.0035236081747709656
78,3,1386,0.0021645021645021645
79,5,1304,0.003834355828220859
80,2,1365,0.0014652014652014652
81,0,1388,0
82,0,1356,0
83,0,1226,0
84,0,1329,0
85,0,1285,0
86,0,1278,0
87,0,1370,0
88,0,1289,0
89,0,1353,0
90,0,1349,0
91,0,1326,0
92,0,1369,0
93,0,1279,0
94,0,1316,0
95,0,1250,0
96,0,1327,0
97,0,1337,0
98,0,1366,0
99,0,1424,0
100,0,1309,0
