Step,n,total,frequency
0,0,2849,0
1,0,3030,0
2,0,2874,0
3,0,2790,0
4,0,2929,0
5,0,2709,0
6,0,2759,0
7,0,2745,0
8,0,2550,0
9,0,2612,0
10,0,2757,0
11,0,2675,0
12,0,2409,0
13,0,2645,0
14,0,2684,0
15,0,2557,0
16,0,2679,0
17,0,2727,0
18,0,2594,0
19,0,2932,0
20,0,2516,0
21,0,2600,0
22,0,2686,0
23,0,2477,0
24,0,2527,0
25,0,2752,0
26,0,2680,0
27,0,2700,0
28,0,2609,0
29,0,2600,0
30,0,2253,0
31,0,2715,0
32,0,2710,0
33,0,2642,0
34,0,2969,0
35,0,2989,0
36,0,2616,0
37,0,2681,0
38,0,2481,0
39,0,2529,0
40,0,3207,0
41,0,2533,0
42,0,3009,0
43,0,3047,0
44,0,2798,0
45,0,2736,0
46,0,2945,0
47,0,2664,0
48,0,2404,0
49,0,2177,0
50,0,3218,0
51,0,3000,0
52,0,2938,0
53,0,2749,0
54,0,2882,0
55,0,2631,0
56,0,2816,0
57,0,2797,0
58,0,2974,0
59,0,2784,0
60,0,3159,0
61,0,2416,0
62,0,2715,0
63,0,2799,0
64,0,2641,0
65,0,2493,0
66,0,2858,0
67,0,2676,0
68,0,2590,0
69,0,2617,0
70,0,2464,0
71,0,2620,0
72,0,2593,0
73,0,2580,0
74,0,2365,0
75,0,2637,0
76,0,2757,0
77,0,2537,0
78,0,2537,0
79,0,2365,0
80,0,2579,0
81,0,2916,0
82,0,3110,0
83,0,2610,0
84,0,2513,0
85,0,2448,0
86,0,2415,0
87,0,3197,0
88,0,2708,0
89,0,2943,0
90,0,2871,0
91,0,2480,0
92,0,2615,0
93,0,2794,0
94,0,2579,0
95,0,2785,0
96,0,2237,0
97,0,2548,0
98,0,2907,0
99,0,2694,0
100,0,2726,0
