Step,n,total,frequency
0,4,1411,0.002834868887313962
1,1,1418,7.052186177715092e-4
2,5,1312,0.0038109756097560975
3,2,1242,0.001610305958132045
4,3,1329,0.002257336343115124
5,1,1318,7.587253414264037e-4
6,1,1330,7.518796992481203e-4
7,2,1274,0.0015698587127158557
8,6,1356,0.004424778761061947
9,7,1260,0.005555555555555556
10,1,1213,8.244023083264633e-4
11,6,1279,0.004691164972634871
12,1,1259,7.942811755361397e-4
13,0,1266,0
14,0,1253,0
15,0,1218,0
16,0,1231,0
17,0,1248,0
18,0,1322,0
19,0,1352,0
20,0,1380,0
21,0,1347,0
22,0,1358,0
23,0,1342,0
24,0,1353,0
25,0,1339,0
26,0,1293,0
27,0,1327,0
28,0,1363,0
29,0,1321,0
30,0,1280,0
31,0,1310,0
32,0,1346,0
33,0,1296,0
34,0,1393,0
35,0,1338,0
36,0,1295,0
37,0,1353,0
38,0,1419,0
39,0,1333,0
40,0,1360,0
41,0,1366,0
42,0,1357,0
43,0,1355,0
44,0,1371,0
45,0,1379,0
46,0,1351,0
47,0,1379,0
48,0,1379,0
49,0,1405,0
50,0,1470,0
51,0,1428,0
52,0,1292,0
53,0,1350,0
54,0,1474,0
55,0,1433,0
56,0,1335,0
57,1,1352,7.396449704142012e-4
58,4,1351,0.0029607698001480384
59,0,1310,0
60,2,1334,0.0014992503748125937
61,0,1336,0
62,1,1292,0.00077399380804953565
63,1,1311,7.627765064836003e-4
64,0,1312,0
65,0,1315,0
66,0,1337,0
67,0,1354,0
68,0,1309,0
69,0,1314,0
70,0,1343,0
71,0,1308,0
72,0,1247,0
73,0,1275,0
74,0,1312,0
75,0,1330,0
76,0,1298,0
77,0,1438,0
78,2,1402,0.0014265335235378032
79,2,1444,0.0013850415512465374
80,3,1262,0.002377179080824089
81,3,1314,0.00228310502283105
82,1,1276,7.836990595611285e-4
83,3,1332,0.0022522522522522522
84,3,1360,0.0022058823529411764
85,5,1386,0.0036075036075036075
86,4,1385,0.002888086642599278
87,7,1345,0.0052044609665427505
88,0,1390,0
89,0,1314,0
90,0,1314,0
91,1,1321,7.57002271006813e-4
92,3,1330,0.002255639097744361
93,1,1319,7.58150113722517e-4
94,0,1387,0
95,0,1313,0
96,0,1374,0
97,0,1406,0
98,0,1315,0
99,0,1380,0
100,0,1291,0
