Step,n,total,frequency
0,12,2853,0.004206098843322818
1,14,3075,0.0045528455284552845
2,7,3790,0.0018469656992084432
3,17,3917,0.004340056165432729
4,2,4152,4.816955684007707e-4
5,2,3355,5.961251862891207e-4
6,34,4281,0.007942069609904227
7,58,6336,0.009154040404040404
8,10,4830,0.002070393374741201
9,17,4261,0.003989673785496362
10,6,3559,0.0016858668165214948
11,32,4154,0.0077034183919114105
12,11,3565,0.0030855539971949507
13,18,4171,0.004315511867657636
14,11,4400,0.0025
15,4,4590,8.714596949891067e-4
16,2,3402,5.878894767783657e-4
17,21,3836,0.005474452554744526
18,1,3517,2.843332385555871e-4
19,0,4097,0
20,2,3656,5.470459518599562e-4
21,6,4748,0.0012636899747262005
22,7,4501,0.0015552099533437014
23,1,3811,2.623983206507478e-4
24,18,3863,0.004659590991457417
25,9,3797,0.00237029233605478
26,30,3913,0.007666751852798364
27,2,3794,5.271481286241434e-4
28,15,3961,0.0037869224943196163
29,0,4265,0
30,9,4026,0.0022354694485842027
31,1,3799,2.6322716504343247e-4
32,2,4434,4.510599909788002e-4
33,2,3683,5.430355688297583e-4
34,11,4239,0.0025949516395376267
35,0,4112,0
36,14,3609,0.0038791909116098642
37,2,3813,5.245213742460005e-4
38,52,3796,0.0136986301369863
39,9,4290,0.002097902097902098
40,3,3993,7.513148009015778e-4
41,0,3405,0
42,0,3853,0
43,3,3981,7.535795026375283e-4
44,36,4412,0.008159564823209429
45,33,4381,0.007532526820360649
46,21,4880,0.00430327868852459
47,48,4697,0.010219288907813498
48,13,4119,0.0031561058509346927
49,1,5303,1.8857250612860644e-4
50,0,4228,0
51,37,3914,0.009453244762391415
52,29,4173,0.006949436855978912
53,5,4208,0.001188212927756654
54,21,3825,0.005490196078431373
55,6,3806,0.0015764582238570678
56,20,3661,0.005462988254575253
57,22,3586,0.006134969325153374
58,125,5383,0.02322125208991269
59,0,4073,0
60,33,3819,0.00864100549882168
61,40,4376,0.009140767824497258
62,6,4229,0.0014187751241428233
63,10,3789,0.0026392187912377936
64,33,3880,0.008505154639175257
65,22,3875,0.00567741935483871
66,33,3835,0.008604954367666232
67,3,3675,8.163265306122449e-4
68,47,6241,0.007530844415958981
69,3,3942,7.6103500761035e-4
70,5,3783,0.0013217023526301878
71,3,3714,8.077544426494346e-4
72,3,3631,8.262186725419994e-4
73,4,3488,0.0011467889908256881
74,0,4341,0
75,2,3615,5.532503457814661e-4
76,18,3629,0.004960044089280794
77,10,4206,0.0023775558725630053
78,5,4460,0.0011210762331838565
79,61,4302,0.014179451417945141
80,0,4389,0
81,6,3973,0.0015101938082053865
82,9,4019,0.002239363025628266
83,1,3961,2.5246149962130775e-4
84,2,4189,4.7744091668656003e-4
85,7,3433,0.00203903291581707
86,7,3732,0.0018756698821007502
87,22,3918,0.005615109749872384
88,11,4073,0.0027007120058924624
89,9,3929,0.0022906592008144567
90,22,3804,0.0057833859095688745
91,28,3966,0.0070600100857286935
92,35,4081,0.008576329331046312
93,4,3686,0.0010851871947911015
94,12,3726,0.00322061191626409
95,25,3831,0.006525711302531976
96,1,3685,2.71370420624152e-4
97,2,4651,4.3001505052676843e-4
98,0,4185,0
99,8,4037,0.0019816695566014365
100,0,3994,0
