Step,n,total,frequency
0,8,1406,0.005689900426742532
1,1,1384,7.22543352601156e-4
2,1,2379,4.203446826397646e-4
3,0,2827,0
4,1,1585,6.309148264984228e-4
5,3,2072,0.0014478764478764478
6,1,1450,6.89655172413793e-4
7,1,2145,4.662004662004662e-4
8,6,1955,0.003069053708439898
9,6,2390,0.002510460251046025
10,0,1669,0
11,0,2034,0
12,0,1984,0
13,0,2146,0
14,0,2089,0
15,2,2156,9.276437847866419e-4
16,0,1544,0
17,0,1946,0
18,1,2362,4.233700254022015e-4
19,3,1888,0.0015889830508474577
20,13,1946,0.006680369989722507
21,5,2213,0.0022593764121102574
22,3,1700,0.0017647058823529412
23,4,1757,0.0022766078542970974
24,23,1964,0.011710794297352342
25,11,2037,0.005400098183603338
26,0,1855,0
27,0,1847,0
28,0,1940,0
29,12,1676,0.007159904534606206
30,0,1771,0
31,0,1718,0
32,3,1969,0.0015236160487557136
33,4,1825,0.002191780821917808
34,4,1860,0.002150537634408602
35,0,2007,0
36,0,1674,0
37,2,1873,0.0010678056593699946
38,2,2116,9.45179584120983e-4
39,36,2081,0.017299375300336376
40,0,1755,0
41,3,1780,0.0016853932584269663
42,0,2213,0
43,0,1904,0
44,0,2376,0
45,2,1964,0.0010183299389002036
46,0,1892,0
47,3,3458,8.675534991324465e-4
48,5,2374,0.0021061499578770007
49,35,1764,0.01984126984126984
50,1,2433,4.110152075626798e-4
51,0,2125,0
52,0,2172,0
53,33,2004,0.016467065868263474
54,0,1606,0
55,2,1750,0.001142857142857143
56,0,1494,0
57,1,1664,6.009615384615385e-4
58,28,1806,0.015503875968992248
59,0,1796,0
60,0,1876,0
61,0,1578,0
62,1,1759,5.685048322910744e-4
63,2,2233,8.956560680698612e-4
64,0,1935,0
65,0,1657,0
66,0,1937,0
67,0,1739,0
68,3,1890,0.0015873015873015873
69,13,2264,0.005742049469964664
70,0,2139,0
71,0,2288,0
72,0,2025,0
73,33,1638,0.020146520146520148
74,19,1845,0.010298102981029811
75,0,1706,0
76,0,1748,0
77,0,2184,0
78,0,1959,0
79,43,2359,0.018228062738448497
80,1,1768,5.656108597285068e-4
81,0,2156,0
82,0,1738,0
83,11,2136,0.005149812734082397
84,0,1630,0
85,35,2184,0.016025641025641024
86,1,1663,6.013229104028864e-4
87,0,2315,0
88,10,2368,0.004222972972972973
89,1,2017,4.957858205255329e-4
90,10,1543,0.0064808813998703824
91,0,1865,0
92,2,1835,0.0010899182561307902
93,0,1869,0
94,0,1704,0
95,0,1774,0
96,0,1614,0
97,0,2400,0
98,49,2050,0.023902439024390244
99,0,1957,0
100,0,2064,0
