Step,n,total,frequency
0,5,1452,0.003443526170798898
1,1,1486,6.729475100942127e-4
2,4,1799,0.0022234574763757642
3,6,1872,0.003205128205128205
4,4,1927,0.0020757654385054488
5,2,1923,0.0010400416016640667
6,6,2019,0.0029717682020802376
7,3,1936,0.0015495867768595042
8,6,1967,0.003050330452465684
9,0,2043,0
10,3,1842,0.0016286644951140066
11,0,1840,0
12,2,1874,0.0010672358591248667
13,19,1838,0.010337323177366704
14,5,1945,0.002570694087403599
15,10,1836,0.0054466230936819175
16,0,1936,0
17,0,2234,0
18,0,2027,0
19,6,1937,0.003097573567372225
20,0,2051,0
21,3,1862,0.001611170784103115
22,2,1913,0.0010454783063251437
23,10,1895,0.005277044854881266
24,9,1809,0.004975124378109453
25,6,1853,0.0032379924446842958
26,17,1932,0.008799171842650104
27,17,1940,0.008762886597938144
28,13,2022,0.006429277942631058
29,19,1974,0.009625126646403243
30,14,2105,0.00665083135391924
31,15,1991,0.007533902561526871
32,6,2034,0.0029498525073746312
33,2,1984,0.0010080645161290322
34,2,1932,0.0010351966873706005
35,0,1975,0
36,0,2137,0
37,3,2514,0.0011933174224343676
38,6,2001,0.0029985007496251873
39,2,1946,0.0010277492291880781
40,0,1957,0
41,1,2068,4.8355899419729207e-4
42,0,1953,0
43,2,1959,0.0010209290454313426
44,3,1969,0.0015236160487557136
45,6,2059,0.0029140359397765905
46,2,2057,9.722897423432182e-4
47,4,2108,0.0018975332068311196
48,4,2005,0.00199501246882793
49,9,2115,0.00425531914893617
50,12,2066,0.005808325266214908
51,9,1980,0.004545454545454545
52,8,1897,0.004217185028993147
53,12,2001,0.005997001499250375
54,12,1923,0.0062402496099844
55,10,2009,0.004977600796416127
56,13,2099,0.006193425440686041
57,3,1831,0.0016384489350081922
58,4,1812,0.002207505518763797
59,7,1806,0.003875968992248062
60,5,1748,0.002860411899313501
61,3,1887,0.001589825119236884
62,0,1873,0
63,3,1926,0.001557632398753894
64,2,1820,0.001098901098901099
65,5,1751,0.0028555111364934323
66,7,1844,0.003796095444685466
67,1,1911,5.232862375719519e-4
68,2,1855,0.001078167115902965
69,0,1745,0
70,0,1711,0
71,0,1781,0
72,8,1822,0.0043907793633369925
73,10,1792,0.005580357142857143
74,8,1778,0.0044994375703037125
75,13,1662,0.007821901323706379
76,14,1740,0.008045977011494253
77,5,1870,0.00267379679144385
78,7,1863,0.003757380568974772
79,4,2005,0.00199501246882793
80,5,2001,0.0024987506246876563
81,5,1967,0.002541942043721403
82,0,1842,0
83,2,1854,0.0010787486515641855
84,6,1961,0.0030596634370219276
85,3,1813,0.001654715940430226
86,0,1783,0
87,8,1760,0.004545454545454545
88,11,2081,0.005285920230658337
89,4,1780,0.0022471910112359553
90,9,1897,0.004744333157617291
91,3,1796,0.0016703786191536749
92,3,1937,0.0015487867836861124
93,4,2015,0.0019851116625310174
94,2,1918,0.0010427528675703858
95,0,1891,0
96,1,1809,5.52791597567717e-4
97,2,1832,0.001091703056768559
98,3,1964,0.0015274949083503055
99,0,1894,0
100,0,2040,0
