Step,n,total,frequency
0,7,1422,0.004922644163150493
1,0,1346,0
2,0,1115,0
3,0,1184,0
4,0,1317,0
5,0,1434,0
6,0,1875,0
7,0,1321,0
8,0,1251,0
9,0,1333,0
10,3,1443,0.002079002079002079
11,0,1239,0
12,0,1445,0
13,0,1136,0
14,0,1365,0
15,0,1335,0
16,0,1256,0
17,0,1283,0
18,0,1436,0
19,0,1373,0
20,0,1450,0
21,0,1203,0
22,0,1296,0
23,0,1254,0
24,0,1337,0
25,0,1265,0
26,0,1234,0
27,0,1690,0
28,0,1451,0
29,0,1363,0
30,0,1402,0
31,0,1274,0
32,0,1301,0
33,0,1393,0
34,0,1402,0
35,0,1213,0
36,0,1458,0
37,0,1575,0
38,0,1289,0
39,0,1348,0
40,0,1354,0
41,0,1430,0
42,22,1416,0.015536723163841809
43,0,1314,0
44,0,1596,0
45,0,1484,0
46,0,1541,0
47,0,1273,0
48,0,1293,0
49,0,1318,0
50,0,1438,0
51,0,1429,0
52,0,1272,0
53,0,1414,0
54,0,1358,0
55,0,1360,0
56,0,1566,0
57,0,1152,0
58,0,1250,0
59,2,1405,0.0014234875444839859
60,0,1456,0
61,0,1328,0
62,0,1296,0
63,0,1430,0
64,0,1381,0
65,0,1310,0
66,0,1220,0
67,1,1378,7.25689404934688e-4
68,0,1523,0
69,0,1239,0
70,0,1305,0
71,0,1276,0
72,0,1247,0
73,0,1306,0
74,0,1555,0
75,0,1578,0
76,0,1285,0
77,0,1259,0
78,0,1481,0
79,0,1187,0
80,0,1227,0
81,0,1415,0
82,0,1302,0
83,0,1375,0
84,0,1300,0
85,0,1541,0
86,0,1644,0
87,0,1766,0
88,0,1715,0
89,0,1213,0
90,0,1319,0
91,0,1375,0
92,0,1438,0
93,0,1356,0
94,0,1350,0
95,0,1299,0
96,0,1469,0
97,0,1235,0
98,0,1227,0
99,0,1445,0
100,0,1583,0
